cbr     throughput      throughput_stddev       latency latency_stddev  pdr     pdr_stddev
1       8.87233573037   0.00202121863171        92.3030373863   0.00258307377478        0       0
2       7.64790487345   0.00861664981204        80.4878853473   0.130828269402  4.55869508165e-05       3.03064284043e-06
3       6.49162582893   0.0231072993336 81.0787427653   0.220074129194  0.000136830355624       8.96863534233e-06
4       5.62732578921   0.00861486251216        80.7014359876   0.191631566854  0.000216385250237       9.93799849499e-06
5       4.73969159226   0.0477758020999 80.0429080425   0.135625267523  0.00032840744359        1.58162424544e-05
6       3.86240660851   0.00323193394514        80.497901099    0.14398789899   0.000668566378804       1.05316784228e-05
7       2.96900372118   0.00347366775393        83.7052874401   0.163356173359  0.000999260143209       2.59645387977e-05
8       1.97291621131   0.0198070427716 85.1106751017   0.880123587291  0.00204134874844        3.17365213065e-05
9       1.02233217052   0.00398956789519        87.3587725425   0.130141048609  0.00610971825844        9.75397978558e-05
10      0.0420740311794 0.000249960490759       803.685128737   118.113381989   0.0454776422105 0.000686347369312
