cbr     throughput      throughput_stddev       latency latency_stddev  pdr     pdr_stddev
1       8.87270081345   0.00116885417448        92.3043191048   0.00189488535835        0       0
2       7.48408948091   0.398920298593  80.0082031374   1.33121668876   4.77811113612e-05       8.52449638388e-06
3       6.06993157106   0.258773499922  79.8599499096   0.743333738316  0.000142232554362       1.31520424095e-05
4       5.19637700287   0.0712645617326 79.1204915749   0.149474560994  0.000221723918526       4.99429617622e-06
5       4.10676718116   0.322900895706  77.5885027317   1.18923241462   0.000393849497755       5.11441177355e-05
6       3.29101885159   0.0114088993458 77.7626959371   0.112539909627  0.000662084515464       4.21282200936e-06
7       2.89685507073   0.0200630876184 82.7978857473   0.200473277965  0.000977612235355       2.45567900909e-05
8       1.68071824776   0.00958882852885        79.5898780065   0.627596821617  0.00208626228321        1.89168615801e-05
9       0.971061215593  0.00386102423916        83.8133280755   0.0938391064961 0.00684937360336        7.82453942269e-05
10      0.0421363470244 0.00027241627008        777.914546542   126.265285544   0.044298611934  0.00073825102434
