cbr     throughput      throughput_stddev       latency latency_stddev  pdr     pdr_stddev
1       8.8727512384    0.00169477359712        92.3034602219   0.00152582618256        0       0
2       7.16304118324   0.0116888141624 79.9028423029   0.239868535665  6.56720376588e-05       4.04090518827e-06
3       6.30693089464   0.0167140717143 81.8699134392   0.201738652333  0.000146961740509       1.59431900017e-05
4       5.35133764343   0.0188103154409 81.2183952154   0.245173781865  0.000210800412265       8.37196854153e-06
5       4.42366365845   0.009161151173  80.7467385636   0.0864811080836 0.000375746890261       1.71685132994e-05
6       3.58575875338   0.0141707041395 80.541642812    0.0702511548358 0.000705384286911       2.55793370655e-05
7       2.79958821603   0.00521528206208        82.9377926965   0.132103941845  0.0011019486278 1.0164418638e-05
8       1.92040103424   0.0160727643161 81.5670129032   0.247586877307  0.00227446612396        1.72694105205e-05
9       1.01487914587   0.00248356563297        90.1851260683   0.070944031087  0.00674379214351        8.94410421269e-05
10      0.0420741364985 0.000249973540084       803.685273196   118.112140012   0.046491084149  0.000688908241789
