cbr     throughput      throughput_stddev       latency latency_stddev  pdr     pdr_stddev
1       7.09657689578   0.0710175115892 63.0866955445   0.00860721049629        0       0
2       7.03212255047   0.0104456947946 63.0864513688   0.000303947502622       0       0
3       6.53071483151   0.0058066935805 64.8990886681   0.0038352402111 0       0
4       5.67225244132   0.00426028002116        64.5375087225   0.59485154375   0       0
5       4.79439732828   0.00468882461218        64.8336842144   0.969890359987  0       0
6       3.88460670177   0.00154172216904        65.3153942537   0.863020733826  0       0
7       2.94478510106   0.000761952703836       66.5742636338   0.00132196674142        0       0
8       1.97291336404   0.00028239811716        68.2836504253   0.00297872939401        0       0
9       1.00433206007   5.19190033506e-05       74.3475795255   0.0281926680297 0       0
10      0.0175940628002 1.67470974902e-07       79.4864293103   0.00432807697451        0.0561224489796 6.93889390391e-18
