cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.17292542855	0.000337443524307	62.6259770866	0.00151831131327	0	0
2	8.17252815502	0.000198429793029	62.6275323493	0.001381855272	0	0
3	8.15438385377	0.00811814949735	62.7113559762	0.0242072871518	0	0
4	8.17026703712	0.000184209329115	62.6360348093	0.00132521133856	0	0
5	8.15758280733	0.00369024415833	62.6948067548	0.0147184264264	0	0
6	8.14567259781	0.00430284983688	62.750680445	0.0216070943091	0	0
7	8.15344866597	0.00108780940042	62.7083455446	0.00752236092192	0	0
8	6.3206480455	0.455200689434	65.5081619709	0.904354746677	0.00073315586999	0.000361056161404
9	4.45411156731	0.670944562825	67.4392566223	1.81897473223	0.00218914245351	0.000800914025292
10	3.03986931965	1.77158910894	80.5615130549	43.6587183253	0.0140940642012	0.0369800764802
