cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.110692475	0.001249422	62.63871559	0.008145867	0.001066473	1.59E-07
2	8.110237209	0.001541452	62.64076856	0.0098465	0.001066519	1.94E-07
3	8.103117844	0.009832125	62.68051893	0.053342319	0.001067191	9.28E-07
4	8.1069558	0.002407041	62.66184928	0.015487977	0.001066849	2.64E-07
5	8.099981415	0.008496978	62.69646969	0.046954931	0.001067459	8.13E-07
6	8.102918775	0.013841233	62.67737746	0.072545772	0.001067118	1.24E-06
7	8.100942297	0.013365544	62.68838283	0.07120354	0.001067311	1.22E-06
8	7.12093193	1.219838526	63.76181177	1.359817048	0.001093916	0.000669422
9	6.515052923	2.067060041	64.64107931	3.027303463	0.001499813	0.000838259
10	6.379670522	2.321467123	66.18278562	7.686348694	0.001784021	0.001786068
newReno						
1	8.110225418	0.001402459	62.64121752	0.008534612	0.001066519	1.65E-07
2	8.110315711	0.001462624	62.6401278	0.009201448	0.001066507	1.83E-07
3	8.105545247	0.009842173	62.66565837	0.05190806	0.001066918	8.86E-07
4	8.11057904	0.002362892	62.63843497	0.014731069	0.001066451	2.50E-07
5	8.099383336	0.008746902	62.69978142	0.048206556	0.001067521	8.36E-07
6	8.102322274	0.013016556	62.68032519	0.067850533	0.001067169	1.15E-06
7	8.093703973	0.011941962	62.72763743	0.064377643	0.001067961	1.09E-06
8	7.623465958	0.635291974	63.35618261	0.97043075	0.001149795	0.000199138
9	6.887495703	1.321650716	63.87226464	1.548384446	0.001472439	0.000653111
10	5.918315183	2.839467911	69.95417675	15.51036611	0.003117978	0.004123617
tahoe						
1	8.11041404	0.001393065	62.64073137	0.008785393	0.001066507	1.74E-07
2	8.109801138	0.00160831	62.64355734	0.010273752	0.001066564	1.95E-07
3	8.103477638	0.008463397	62.6799892	0.04559222	0.001067197	8.08E-07
4	8.108865665	0.00289795	62.64937123	0.01836182	0.001066644	3.19E-07
5	8.106525492	0.006420618	62.66065702	0.03629862	0.001066843	6.36E-07
6	8.099240161	0.01384072	62.69657862	0.0722804	0.001067442	1.24E-06
7	8.098895137	0.012987608	62.69851579	0.06846489	0.001067476	1.17E-06
8	7.720890733	0.746926521	63.0185951	0.780645749	0.001064723	0.000142617
9	7.495525562	0.784163734	62.99621773	0.463984176	0.001110226	0.000128691
10	5.739163898	2.958289049	69.85156488	15.6374665	0.003233518	0.003944711
vegas						
1	7.697123546	9.76E-05	62.53945644	0.005934324	0.001081221	8.35E-08
2	7.696999813	0.000115199	62.54361141	0.012568064	0.001081297	2.08E-07
3	7.696758566	0.000245556	62.56692922	0.022694358	0.001081707	3.85E-07
4	7.696340916	0.000913268	62.56946188	0.036797227	0.001081748	6.29E-07
5	7.696830311	0.000248135	62.55847739	0.024892415	0.001081543	4.04E-07
6	7.693010081	0.003644376	62.59325267	0.049558814	0.001082164	8.52E-07
7	7.69138513	0.009677609	62.58507848	0.083550356	0.001082054	1.49E-06
8	7.354220173	0.462796399	63.515183	1.385195549	0.001105522	3.63E-05
9	6.419723539	1.528194073	64.33857158	2.587551866	0.001117681	0.000405637
10	6.36218548	1.695179458	62.60228471	0.076180718	0.00180565	0.001194035
