cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	8.11041404027	0.00139306455785	62.6407313725	0.00878539297957	0.00106650742995	1.73996328529e-07
2	8.10980113804	0.00160830977138	62.6435573449	0.0102737515725	0.00106656431216	1.950362434e-07
3	8.10347763784	0.00846339741788	62.6799891996	0.0455922195938	0.00106719660803	8.08353862853e-07
4	8.10886566456	0.00289795012451	62.6493712311	0.0183618204035	0.00106664400698	3.18971040802e-07
5	8.10652549215	0.00642061808637	62.6606570235	0.0362986204824	0.00106684343059	6.36129049711e-07
6	8.09924016072	0.0138407204878	62.6965786164	0.0722803996659	0.001067442346	1.23535883487e-06
7	8.09889513745	0.012987608294	62.698515785	0.0684648904389	0.00106747638324	1.16993611488e-06
8	7.72089073343	0.746926521159	63.0185951049	0.78064574932	0.00106472324153	0.000142617228128
9	7.49552556234	0.784163733794	62.9962177305	0.46398417633	0.00111022573121	0.00012869143494
10	5.73916389767	2.95828904927	69.8515648757	15.6374665	0.00323351750558	0.00394471054885
