cbr	throughput	throughput_stddev	latency	latency_stddev	pdr	pdr_stddev
1	7.69712354589	9.76311707477e-05	62.5394564437	0.00593432353357	0.00108122135408	8.34867642643e-08
2	7.69699981312	0.000115199304045	62.5436114129	0.0125680642014	0.00108129738041	2.07628818612e-07
3	7.69675856637	0.000245556488466	62.5669292181	0.0226943579661	0.00108170685419	3.85373910321e-07
4	7.69634091554	0.000913267726608	62.5694618822	0.0367972267751	0.0010817480369	6.28705686716e-07
5	7.69683031103	0.000248134580222	62.5584773899	0.0248924149825	0.00108154307998	4.03898316756e-07
6	7.69301008059	0.00364437596538	62.5932526651	0.0495588135153	0.00108216391536	8.52056858018e-07
7	7.69138512963	0.00967760863882	62.5850784848	0.0835503563745	0.00108205406471	1.49480685529e-06
8	7.35422017283	0.462796398628	63.5151829985	1.38519554853	0.00110552183558	3.62917940954e-05
9	6.41972353939	1.52819407294	64.3385715814	2.58755186569	0.00111768076242	0.000405637384998
10	6.36218548028	1.69517945828	62.6022847079	0.0761807177777	0.00180564992123	0.00119403541707
