CBR     NewReno_droprate        NewReno_droprate_stddev Reno_droprate   Reno_droprate_stddev
1       0.000581017012178       1.08420217249e-19       0.00092946582021        1.08420217249e-19
2       0.000927667361358       2.16840434497e-19       0.00106219756875        2.16840434497e-19
3       0.00103340408893        2.16840434497e-19       0.000923589836006       0.0
4       0.00156156156156        2.16840434497e-19       0.000856403106951       1.08420217249e-19
5       0.00131793648801        2.16840434497e-19       0.00168052361578        0.0
6       0.00171184022825        2.16840434497e-19       0.00252222982216        0.0
7       0.00172219646287        2.16840434497e-19       0.00193099897013        0.0
8       0.00281531531532        4.33680868994e-19       0.003102719831  4.33680868994e-19
9       0.00840554592721        1.73472347598e-18       0.0112889396971 0.0
10      0.05    6.93889390391e-18       0.061797752809  0.0
