CBR     NewReno_latency NewReno_latency_stddev  Reno_latency    Reno_latency_stddev
1       81.676583376    1.42108547152e-14       82.9392530823   1.42108547152e-14
2       81.9761439153   0.0     85.5448761474   1.42108547152e-14
3       83.4640696522   0.0     85.2731024096   1.42108547152e-14
4       85.4330133264   0.0     88.2274099035   1.42108547152e-14
5       80.0360396371   1.42108547152e-14       83.2429584314   0.0
6       79.2540727186   0.0     83.1651149764   0.0
7       90.7083145394   0.0     93.5950375109   1.42108547152e-14
8       90.2542324636   1.42108547152e-14       94.9317977099   1.42108547152e-14
9       99.0810403338   1.42108547152e-14       103.68256736    1.42108547152e-14
10      700.918243902   1.13686837722e-13       921.16904918    0.0
