CBR     NewReno_droprate        NewReno_droprate_stddev Vegas_droprate  Vegas_droprate_stddev
1       2.87649757655e-05       0.0     0.000518441712339       0.0
2       0.000125605598421       0.0     0.000991338829177       2.16840434497e-19
3       0.000174201746116       2.71050543121e-20       0.000226116449972       2.71050543121e-20
4       0.000365443648589       5.42101086243e-20       0.000268240343348       5.42101086243e-20
5       0.000553387312868       1.08420217249e-19       0.000610426077402       1.08420217249e-19
6       0.000894954692919       1.08420217249e-19       0.000476904210383       0.0
7       0.00130948263082        2.16840434497e-19       0.00068177944435        0.0
8       0.00365124054197        8.67361737988e-19       0.00086004691165        0.0
9       0.00735294117647        1.73472347598e-18       0.00394917582418        0.0
10      0.0419161676647 6.93889390391e-18       0.0474860335196 6.93889390391e-18
