CBR     NewReno_latency NewReno_latency_stddev  Vegas_latency   Vegas_latency_stddev
1       62.6291867711   0.0130967149807 62.5852732171   0.0319899224473
2       62.6293760807   0.0111265421499 62.5979060282   0.0312020968125
3       62.7506842147   0.0118033077184 62.7163728863   0.0240256909131
4       62.6508152212   0.0198669591034 62.6280369461   0.0132671763043
5       64.5441665045   0.337593162464  65.2832263389   0.00190397114332
6       68.9897703084   1.51872517443   70.5514352387   1.42053826328
7       68.5880811157   1.01410435159   70.0736293692   0.765591637069
8       70.5006085207   1.00045895304   70.9130337203   0.876304709344
9       75.0646557009   1.83703561783   77.4106305449   1.94940014814
10      130.080435337   72.8051325191   2746.45664      5312.88635848
