CBR     Reno_droprate   Reno_droprate_stddev    Reno_droprate   Reno_droprate_stddev
1       0.000707417780729       1.08420217249e-19       0.000767822337724       1.08420217249e-19
2       0.00114109942449        0.0     0.00079328044797        0.0
3       0.00108347185942        2.16840434497e-19       0.000895744123045       1.08420217249e-19
4       0.001355160451  2.16840434497e-19       0.00104142011834        2.16840434497e-19
5       0.00158508409005        4.33680868994e-19       0.00149627292018        0.0
6       0.00224215246637        4.33680868994e-19       0.00208923512748        0.0
7       0.00208266581224        4.33680868994e-19       0.00168448806211        4.33680868994e-19
8       0.00243383024034        4.33680868994e-19       0.00351398837681        0.0
9       0.0103147596767 1.73472347598e-18       0.0101572739187 0.0
10      0.05    6.93889390391e-18       0.061797752809  0.0
