CBR     Reno_latency    Reno_latency_stddev     Reno_latency    Reno_latency_stddev
1       62.6372021042   0.0201260257622 62.6271568494   0.00629263997885
2       62.6320316021   0.0105534930118 62.6293996426   0.00516453353759
3       62.7697083153   0.0198340503999 62.7513856892   0.00568641148169
4       62.6572117926   0.0174498921938 62.6369101244   0.00772379346024
5       65.5024497746   0.417037502833  66.559291462    0.00193507007229
6       67.5201720053   0.744165753645  68.7625758946   0.317755706584
7       67.0204872872   1.55201819892   68.8786410929   0.593884200317
8       70.6790788392   1.00793607789   71.3345022728   0.768393216005
9       75.0303815185   2.01678523038   78.8383786711   2.47165080576
10      151.508226085   161.633689263   115.905905048   52.8704438853
