CBR     Reno_throughput Reno_throughput_stddev  Reno_throughput Reno_throughput_stddev
1       3.99199477862   4.4408920985e-16        3.90371645478   4.4408920985e-16
2       3.48155636178   0.0     3.70294480259   4.4408920985e-16
3       3.8788672068    0.0     2.63727110416   0.0
4       3.18396017603   4.4408920985e-16        2.43459776434   4.4408920985e-16
5       2.13788627747   4.4408920985e-16        2.09153417548   0.0
6       1.665313354     2.22044604925e-16       1.62211929416   4.4408920985e-16
7       1.43264414457   0.0     1.5697283693    0.0
8       1.12062824037   2.22044604925e-16       0.848345666638  0.0
9       0.525666674561  0.0     0.514100351062  0.0
10      0.0197019424674 3.46944695195e-18       0.0243277382369 3.46944695195e-18
