CBR     Vegas_droprate  Vegas_droprate_stddev   Vegas_droprate  Vegas_droprate_stddev
1       0.000433563366112       4.6835571692e-06        0.000583664893258       9.15881322736e-05
2       0.000431133232492       3.30294019512e-06       0.000592372473854       0.00010304582075
3       0.000431050711326       2.85165470539e-06       0.000645963488355       0.000114465971479
4       0.000432641875923       4.58975319952e-06       0.000573310967215       9.62031238335e-05
5       0.000441494853698       5.25026734081e-06       0.000592718609706       8.78328962528e-05
6       0.000510229742712       4.22481745529e-05       0.000619234421378       0.000116943385341
7       0.000549967021834       7.4991187139e-05        0.00089679734228        0.000163998513291
8       0.000732982632384       0.000213975069001       0.00109517328133        0.000467148646251
9       0.00344306058393        0.0010025379999 0.00808331351117        0.00286221432851
10      0.103943273375  0.0192631550013 0.307768817204  0.140120588045
