CBR     Vegas_latency   Vegas_latency_stddev    Vegas_latency   Vegas_latency_stddev
1       63.9920471325   0.0     64.0086990291   1.42108547152e-14
2       63.9945149701   0.0     64.0167181481   1.42108547152e-14
3       65.0981527572   1.42108547152e-14       65.1317869021   1.42108547152e-14
4       64.0132294138   0.0     64.059518552    0.0
5       65.6622156448   1.42108547152e-14       65.7255196894   0.0
6       68.2480406477   0.0     68.3339136241   1.42108547152e-14
7       67.8724553509   1.42108547152e-14       67.9144937229   1.42108547152e-14
8       77.4043588457   0.0     77.033881678    1.42108547152e-14
9       100.576969101   1.42108547152e-14       100.761952202   1.42108547152e-14
10      77.6397948718   1.42108547152e-14       74.9735 1.42108547152e-14
