CBR     Vegas_throughput        Vegas_throughput_stddev Vegas_throughput        Vegas_throughput_stddev
1       7.86764523698   0.00213742042764        7.8280893442    0.0231759486351
2       7.8673233862    0.00328642964914        7.82358634229   0.0285990208851
3       7.86290238446   0.00198989634961        7.80626693898   0.0299591965654
4       7.85514528462   0.00180671127218        7.81893871494   0.023815162656
5       7.72254096811   0.0196963517368 7.6447408788    0.0210934414086
6       6.03496838929   0.665748854964  6.52299010938   0.743428901437
7       4.99938595112   0.875141233901  4.97057001719   0.892518878629
8       3.70983769791   0.934284209221  3.40500569789   0.902941829023
9       2.19949050243   0.235224268641  1.7775110593    0.202744226865
10      0.0479624890419 0.0065046234713 0.0100856620542 0.00751227261166
