CBR     NewReno_droprate        NewReno_droprate_stddev Reno_droprate   Reno_droprate_stddev
1       0.000527545847796       1.51736007827e-07       0.000539877100827       6.17105140503e-06
2       0.000527614051747       1.6903191784e-07        0.000542451236645       8.36343111567e-06
3       0.000528552572662       3.01465366452e-07       0.000538339726547       5.48192114168e-06
4       0.000527668365619       2.04217898127e-07       0.000544072436767       5.71851619695e-06
5       0.000550553141702       7.0174598873e-06        0.000570943731438       1.18519066874e-05
6       0.00107970039208        0.000283461952601       0.000721220278185       0.000335960897929
7       0.00160608360486        0.000554061683742       0.00196424167552        0.000794819121686
8       0.00244891745559        0.000990553361047       0.00248049252781        0.00123319663905
9       0.00331579009015        0.00184040794444        0.00414192799128        0.00316605180659
10      0.00456401220783        0.00652988698391        0.0389582865157 0.108265022862
~                                                                                                        
