CBR     NewReno_throughput      NewReno_throughput_stddev       Reno_throughput Reno_throughput_stddev
1       8.18887747644   0.00390656011314        8.18919272106   0.00320126819549
2       8.18726777092   0.0043038070366 8.18797519905   0.00274629981807
3       8.17450602976   0.00382740926909        8.17468192791   0.00301387412918
4       8.18660705258   0.00393791278898        8.18447566587   0.00404283901826
5       7.84764966418   0.0987184995618 7.83651458233   0.105710047259
6       6.44349811111   0.624539118978  6.88294133933   0.690612974766
7       5.90440354113   0.711565680118  4.56050800745   0.785346183127
8       4.92045702143   0.894420966998  4.24543085135   1.25200149799
9       4.1277976338    1.18604186817   3.47836681011   1.42075436783
10      3.10315290235   1.85291448397   2.95381810372   1.92826343084
