CBR     NewReno_droprate        NewReno_droprate_stddev Vegas_droprate  Vegas_droprate_stddev
1       0.00052758619029        1.23425575351e-07       0.000548199825545       9.50318863207e-06
2       0.000527483208955       9.15616766604e-08       0.000548585620052       8.52694763817e-06
3       0.000528326303646       2.22783118616e-07       0.00054804909829        5.82762106871e-06
4       0.000527591771871       1.51458302065e-07       0.000546057916938       8.60890963314e-06
5       0.000543083452683       4.24749936348e-06       0.000566642504664       1.06806631971e-05
6       0.000619066898289       9.15681406798e-05       0.00058777706298        5.04993957099e-05
7       0.00131570164277        0.000458684247509       0.00132989983411        0.000359450513113
8       0.00209597630904        0.000841783995353       0.00191258017137        0.000964183117689
9       0.00397842437525        0.00250743951132        0.00313274427822        0.00212300812276
10      0.00390197574577        0.00317035387519        0.00429850361175        0.00370978374157
