CBR     NewReno_latency NewReno_latency_stddev  Vegas_latency   Vegas_latency_stddev
1       62.6426119407   0.0155440968365 62.6002497385   0.0290025238215
2       62.6306833255   0.0117792292439 62.6133845773   0.0271220414095
3       62.7316165417   0.0256462224249 62.6916437631   0.0353377718805
4       62.6435299278   0.01833641356   62.6262777363   0.0258663056251
5       64.4799888609   0.505418655017  64.5450689654   0.51468275346
6       67.1348554706   1.32735244674   66.8157229593   1.44954070254
7       67.2612253855   2.20831786747   67.0237132059   2.12293657594
8       66.9297415704   2.18600322366   66.7161999548   2.04680550832
9       69.1970514696   4.40012515227   68.7028442402   3.64336300339
10      63.9435348862   2.17983238383   66.2751895792   4.55226843644
