CBR     Reno_droprate   Reno_droprate_stddev    Reno_droprate   Reno_droprate_stddev
1       0.000527527752953       1.41544159604e-07       0.000540427039777       7.35382892257e-06
2       0.000527582044609       1.75499326935e-07       0.000541721758759       6.91470594557e-06
3       0.000528436637107       2.80149140426e-07       0.000536224184017       4.54835055903e-06
4       0.000527672535181       1.95007587302e-07       0.000540097643298       8.61226389663e-06
5       0.000549767009728       4.8547948948e-06        0.000565537519867       8.89170895932e-06
6       0.000902770531473       0.000336722048741       0.000933394988738       0.000347434017495
7       0.0015329885747 0.000688805474894       0.00160712572044        0.000549551116954
8       0.00210916487558        0.00101685265207        0.00207741813288        0.000756823234261
9       0.00307923832054        0.00102459182916        0.003432570534  0.000914995144178
10      0.00397985615901        0.00239759332388        0.00566074020286        0.00539294578199
