CBR     Vegas_droprate  Vegas_droprate_stddev   Vegas_droprate  Vegas_droprate_stddev
1       0.00053069970248        1.70236770284e-07       0.000544110542821       8.25863739442e-06
2       0.000530736320345       1.73124362995e-07       0.000547377448275       7.53454428475e-06
3       0.000530933585144       1.94601626907e-07       0.000546095911654       8.20384664959e-06
4       0.000531205801671       2.56847736194e-07       0.000545398670612       7.53811993935e-06
5       0.000539909178388       2.850785255e-06 0.000555538176673       9.74289516275e-06
6       0.000588799034724       5.5757181483e-05        0.000615802757267       6.24001439725e-05
7       0.000672407589961       0.000147638887048       0.000625112024133       0.000103543188115
8       0.000771327921614       0.000136241547882       0.000684857396119       0.00010123045302
9       0.00152258497928        0.000727829748515       0.00173468576725        0.000707067504288
10      0.00890597389237        0.016889157235  0.0538350047816 0.148810921731
