time	tcp	cbr-delay		time	cbr-throughtput 	tcp
Reno-dropTail						
0	64.23481081	0		0	0	1.49824
0.5	62.592	0		0.5	0	2.6624
1	62.592	0		1	0	2.6624
1.5	62.592	0		1.5	0	2.6624
2	62.592	0		2	0	2.6624
2.5	62.592	0		2.5	0	2.6624
3	150.8026667	30.62999276		3	5.5776	0.43264
3.5	70.23	30.64323639		3.5	6.00432	0.54912
4	63.62425	30.82679327		4	5.95392	1.1648
4.5	89.81657143	30.62389486		4.5	5.97408	0.7488
5	63.50955556	30.68397611		5	5.98752	0.6656
5.5	65.884	30.74452278		5.5	5.97072	1.11488
6	63.10044444	30.82814567		6	5.99424	1.64736
6.5	63.604875	31.27182104		6.5	5.92368	2.44608
7	62.79614388	30.89554627		7	6.0144	2.64576
7.5	62.72	30.86764418		7.5	5.9976	2.64576
8	62.7212	30.86304842		8	5.99424	2.64576
8.5	62.72	30.86074357		8.5	6.00096	2.64576
9	62.72	30.85896119		9	6.00432	2.64576
9.5	62.72	30.85721241		9.5	6.00432	2.6624
10	0	30.504		10	6.00432	0.13312
10.5	0	30.504		10.5	5.9976	0
11	0	30.504		11	6.00096	0
11.5	0	30.504		11.5	6.00096	0
12	0	30.504		12	6.00096	0
Reno -red						
0	69.2672	0		0	0	0.66624
0.5	63.424	0		0.5	0	0.51584
1	62.8081039	0		1	0	1.43104
1.5	63.008	0		1.5	0	2.3296
2	62.592	0		2	0	2.62912
2.5	62.592	0		2.5	0	2.6624
3	130.376667	30.6961498		3	5.56752	0.73216
3.5	63.376	30.7545903		3.5	5.9976	0.96512
4	63.8670316	31.2688612		4	5.98416	1.93024
4.5	63.0554245	31.0394743		4.5	6.00768	2.5792
5	62.72	30.8676868		5	5.9976	2.64576
5.5	62.72	30.867374		5.5	6.00096	2.64576
6	62.72	30.8654949		6	6.00432	2.6624
6.5	62.72	30.8634368		6.5	6.00432	2.64576
7	62.72	30.8611902		7	6.00096	2.64576
7.5	62.72	30.8591331		7.5	5.99424	2.64576
8	62.7212	30.8536583		8	5.9976	2.64576
8.5	62.72	30.8513616		8.5	5.9976	2.64576
9	62.72	30.8494949		9	6.00432	2.64576
9.5	62.72	30.8476322		9.5	6.00096	2.6624
10	0	30.504		10	6.00768	0.19968
10.5	0	30.504		10.5	5.9976	0
11	0	30.504		11	6.00096	0
11.5	0	30.504		11.5	6.00096	0
12	0	30.504		12	6.00096	0
SACK-droptail						
0	64.23481081	0		0	0	1.49824
0.5	62.592	0		0.5	0	2.6624
1	62.592	0		1	0	2.6624
1.5	62.592	0		1.5	0	2.6624
2	62.592	0		2	0	2.6624
2.5	62.592	0		2.5	0	2.6624
3	97.40325926	30.76665902		3	5.57424	0.94848
3.5	63.436375	30.83502351		3.5	5.93712	1.26464
4	65.45884211	30.8320048		4	5.9808	1.36448
4.5	63.28928	30.9494234		4.5	5.94048	1.88032
5	69.67297917	30.86756019		5	5.94048	1.43104
5.5	63.23745455	30.78147971		5.5	5.9976	1.21472
6	65.70975806	30.96200121		6	5.89008	1.664
6.5	66.01610256	30.69027029		6.5	5.9976	0.9984
7	64.32321918	30.89444031		7	5.964	1.54752
7.5	63.33726316	30.82005027		7.5	5.9808	1.43104
8	64.22468367	31.05483715		8	5.9472	2.01344
8.5	66.13754762	30.75602277		8.5	5.92704	1.06496
9	63.14651685	30.86100239		9	5.99424	1.71392
9.5	63.4169771	31.13570478		9.5	5.91024	2.56256
10	0	30.50466786		10	6.00096	0.1664
10.5	0	30.504		10.5	5.9976	0
11	0	30.504		11	6.00096	0
11.5	0	30.504		11.5	6.00096	0
12	0	30.504		12	6.00096	0
SACK-red						
0	78.70916667	0		0	0	0.8992
0.5	64.00304762	0		0.5	0	1.01504
1	62.87138776	0		1	0	1.93024
1.5	62.61594245	0		1.5	0	2.64576
2	62.592	0		2	0	2.6624
2.5	62.592	0		2.5	0	2.6624
3	69.14029508	31.02907381		3	5.5608	1.43104
3.5	63.90628571	31.36788517		3.5	5.9976	2.21312
4	62.87	30.91665472		4	6.00768	2.64576
4.5	62.72	30.84680668		4.5	6.00432	2.64576
5	62.72	30.84420048		5	5.9976	2.64576
5.5	62.72	30.84231164		5.5	5.9976	2.64576
6	62.72	30.84224612		6	5.9976	2.64576
6.5	62.72	30.8425902		6.5	6.00096	2.64576
7	62.72	30.84268418		7	6.00096	2.64576
7.5	62.72	30.84243582		7.5	6.00096	2.6624
8	62.72120863	30.83970406		8	6.00432	2.64576
8.5	62.72	30.84148749		8.5	6.00432	2.6624
9	62.72	30.84396899		9	5.9976	2.6624
9.5	62.72	30.84617293		9.5	6.00096	2.6624
10	0	30.50566965		10	6.00096	0.21632
10.5	0	30.504		10.5	5.9976	0
11	0	30.504		11	6.00096	0
11.5	0	30.504		11.5	6.00096	0
12	0	30.504		12	6.00096	0
